name,compound,areal_density,mu_E,sig_E
Fe01,Fe,20.053,53.95669666666667,0.5542126138245341
Al01Front,Al,1.535,53.808408,0.5441849307628183
Th01,Th,17.151,53.721817666666674,0.5480591112473382
Al01Back,Al,1.535,53.63512766666667,0.5453239835497387
Cu01,Cu,22.251,53.47863733333333,0.5591942147467391
Al01_Degrader,Al,415.0,49.94678723076924,2.2235428489666647
Fe02,Fe,20.111,46.29158933333334,0.6247335917703019
Al02Front,Al,1.532,46.12432200000001,0.6138670108278068
Th02,Th,17.166,46.02761066666667,0.6183940365329823
Al02Back,Al,1.532,45.93081966666667,0.6156573301330502
Cu02,Cu,22.054,45.756247,0.6311963838545022
Al02_Degrader,Al,261.5,43.19492727272727,1.6684536101600782
Fe03,Fe,19.975,40.56172733333334,0.6922020921086237
Al03Front,Al,1.545,40.37774933333334,0.6807850672810685
Th03,Th,17.37,40.270220333333334,0.6861190164880694
Al03Back,Al,1.545,40.162575000000004,0.6833958609095707
Cu03,Cu,22.235,39.96754066666667,0.701276829561305
Al03_Degrader,Al,68.3,39.1030865,0.8651879989445939
Al03b_Degrader,Al,68.3,37.71033975,0.890230413752495
Fe04,Fe,20.29,36.81726566666667,0.7466121907799406
Al04Front,Al,1.546,36.61625333333333,0.7343833439166648
Th04,Th,17.51,36.500354,0.7405467853894625
Al04Back,Al,1.546,36.384073,0.7378357070994871
Cu04,Cu,22.21,36.173992000000005,0.7576224547464259
