name,compound,areal_density,mu_E,sig_E
Fe01,Fe,20.053,47.27382316060606,0.49366420365288055
Al01Front,Al,1.535,47.1098023080808,0.4794775517626028
Th01,Th,17.151,47.0145560919192,0.4847295071261553
Al01Back,Al,1.535,46.919257392929296,0.48088834152566207
Cu01,Cu,22.251,46.74589807474748,0.49948705692905426
Al01_Degrader,Al,415.0,42.77897059564394,2.447128374811345
Fe02,Fe,20.111,38.6218917040404,0.5780441741810173
Al02Front,Al,1.532,38.42986746868687,0.5620954860405718
Th02,Th,17.166,38.31969937272727,0.5683377957985821
Al02Back,Al,1.532,38.20973678181818,0.564246118366589
Cu02,Cu,22.054,38.009004190909096,0.5861501004376288
Al02_Degrader,Al,261.5,35.0097530169697,1.8716704529467383
Fe03,Fe,19.975,31.87922515353535,0.6705512212601622
Al03Front,Al,1.545,31.6581775979798,0.6533700208374378
Th03,Th,17.37,31.530574453535355,0.6610180411405331
Al03Back,Al,1.545,31.402799633333334,0.6570226901047317
Cu03,Cu,22.235,31.167718612121213,0.6839224065422037
Al03_Degrader,Al,68.3,30.112970421717172,0.8898909738419993
Al03b_Degrader,Al,68.3,28.38865105050505,0.9318510973316458
Fe04,Fe,20.29,27.26927452525252,0.7567716507974521
Al04Front,Al,1.546,27.016799240404044,0.7381486244763362
Th04,Th,17.51,26.87325933737374,0.7473833320556099
Al04Back,Al,1.546,26.729633122222225,0.743627763866139
Cu04,Cu,22.21,26.464344123232323,0.7751920656823064
