name,compound,areal_density,mu_E,sig_E
Fe01,Fe,20.053,45.145374549494946,0.4721684603772218
Al01Front,Al,1.535,44.97544046666667,0.4561690521489683
Th01,Th,17.151,44.87700876060606,0.4619365185698672
Al01Back,Al,1.535,44.77855712121212,0.4575512859511835
Cu01,Cu,22.251,44.59899252020202,0.4783466764459828
Al01_Degrader,Al,415.0,40.46441169055258,2.5389768430585926
Fe02,Fe,20.111,36.10861328585859,0.561981418995058
Al02Front,Al,1.532,35.90659227474748,0.5435714883173244
Th02,Th,17.166,35.791138408080805,0.5506738110050514
Al02Back,Al,1.532,35.67550061111111,0.5461500232172491
Cu02,Cu,22.054,35.46381314141414,0.570994831500733
Al02_Degrader,Al,261.5,32.27863981657754,1.9643742417551064
Fe03,Fe,19.975,28.928628431313133,0.666897580282233
Al03Front,Al,1.545,28.69074372929293,0.6469331419553956
Th03,Th,17.37,28.55412156868687,0.6558184641806017
Al03Back,Al,1.545,28.41731457171717,0.6511312422599309
Cu03,Cu,22.235,28.163680724242422,0.6826192118481148
Al03_Degrader,Al,68.3,27.019180561904765,0.9122813722766462
Al03b_Degrader,Al,68.3,25.133083093181817,0.9573717894535209
Fe04,Fe,20.29,23.899229768686872,0.7728385589659679
Al04Front,Al,1.546,23.620275453535356,0.7510375918012345
Th04,Th,17.51,23.46290692121212,0.7621796469005455
Al04Back,Al,1.546,23.305280765656565,0.7578849606512988
Cu04,Cu,22.21,23.011169264646465,0.7963082008893654
