name,compound,areal_density,mu_E,sig_E
Fe01,Fe,20.053,54.45891066666667,0.5584334039849534
Al01Front,Al,1.535,54.31168766666667,0.5486030123090426
Th01,Th,17.151,54.22558633333333,0.5524079466721633
Al01Back,Al,1.535,54.13944266666667,0.5497208467754843
Cu01,Cu,22.251,53.984153666666664,0.5631721705836403
Al01_Degrader,Al,415.0,50.48065361538462,2.2072961867098515
Fe02,Fe,20.111,46.85720133333333,0.627911093068296
Al02Front,Al,1.532,46.69162933333334,0.6173253047944459
Th02,Th,17.166,46.595710000000004,0.6218216753217919
Al02Back,Al,1.532,46.49979200000001,0.6190831043319898
Cu02,Cu,22.054,46.326734,0.6343431457636579
Al02_Degrader,Al,261.5,43.791715200000006,1.6672133283083361
Fe03,Fe,19.975,41.18806633333334,0.69420221904948
Al03Front,Al,1.545,41.00627366666667,0.6831414014974417
Th03,Th,17.37,40.90000166666667,0.6883169328130917
Al03Back,Al,1.545,40.79347266666667,0.6855898146264686
Cu03,Cu,22.235,40.60067166666667,0.7030663900826783
Al03_Degrader,Al,68.3,39.74697325000001,0.8628690015201831
Al03b_Degrader,Al,68.3,38.372522000000004,0.8871305763617896
Fe04,Fe,20.29,37.49166133333334,0.7470915160172076
Al04Front,Al,1.546,37.29344166666667,0.7352146092109587
Th04,Th,17.51,37.178772333333335,0.7410536549408704
Al04Back,Al,1.546,37.06418066666667,0.7384014549639574
Cu04,Cu,22.21,36.85710166666667,0.7576885021765579
