name,compound,areal_density,mu_E,sig_E
Fe01,Fe,20.053,50.615224000000005,0.5222119906296038
Al01Front,Al,1.535,50.459504,0.5102753576753111
Th01,Th,17.151,50.368908,0.5147975209108917
Al01Back,Al,1.535,50.278103666666674,0.5115987528521634
Cu01,Cu,22.251,50.11362333333334,0.5275754019937708
Al01_Degrader,Al,415.0,46.37920135714286,2.3289193083975084
Fe02,Fe,20.111,42.49319966666667,0.5987360760801782
Al02Front,Al,1.532,42.31465500000001,0.5854840427444059
Th02,Th,17.166,42.21179966666668,0.5908147209855407
Al02Back,Al,1.532,42.10891733333334,0.5875434859079699
Cu02,Cu,22.054,41.922364666666674,0.6059665736256048
Al02_Degrader,Al,261.5,39.164409000000006,1.7624005307304584
Fe03,Fe,19.975,36.311174,0.6763163523016922
Al03Front,Al,1.545,36.110999666666665,0.6623503156687974
Th03,Th,17.37,35.994648,0.6687308547509977
Al03Back,Al,1.545,35.87822366666667,0.6654558773050915
Cu03,Cu,22.235,35.66573133333333,0.6872927021909143
Al03_Degrader,Al,68.3,34.7189938,0.8660363015264199
Al03b_Degrader,Al,68.3,33.1846444,0.8972184157431455
Fe04,Fe,20.29,32.195966,0.7427239012652459
Al04Front,Al,1.546,31.973444000000004,0.7277509502093877
Th04,Th,17.51,31.845875999999997,0.7351312304325897
Al04Back,Al,1.546,31.718104333333336,0.7317382727322811
Cu04,Cu,22.21,31.484962000000003,0.7563766644708176
