name,compound,areal_density,mu_E,sig_E
Fe01,Fe,20.053,47.07200612962963,0.4890175089768099
Al01Front,Al,1.535,46.90729187037037,0.4745208063980873
Th01,Th,17.151,46.811743370370365,0.4798089475761734
Al01Back,Al,1.535,46.71611994444444,0.4759215345641443
Cu01,Cu,22.251,46.54232705555555,0.49475149371437593
Al01_Degrader,Al,415.0,42.560186375,2.4555557442327434
Fe02,Fe,20.111,38.38544151851851,0.5733799571909639
Al02Front,Al,1.532,38.19250316666667,0.5571129446411026
Th02,Th,17.166,38.08197011111111,0.563412428025116
Al02Back,Al,1.532,37.97120912962963,0.559333671019726
Cu02,Cu,22.054,37.76923433333333,0.5816469078406985
Al02_Degrader,Al,261.5,34.75377974814814,1.879761506916942
Fe03,Fe,19.975,31.60417866666667,0.6663628760458142
Al03Front,Al,1.545,31.381636388888886,0.6488399859560422
Th03,Th,17.37,31.253347148148144,0.6568045986103117
Al03Back,Al,1.545,31.124822111111108,0.6525358735716603
Cu03,Cu,22.235,30.88806531481481,0.6798998399042877
Al03_Degrader,Al,68.3,29.82566825925926,0.8894842554381505
Al03b_Degrader,Al,68.3,28.087609037037033,0.9322964404768148
Fe04,Fe,20.29,26.9586935,0.7537936306886676
Al04Front,Al,1.546,26.70401775925926,0.7346340890901625
Th04,Th,17.51,26.559457,0.7441314389839561
Al04Back,Al,1.546,26.41446557407407,0.740145645942648
Cu04,Cu,22.21,26.146774129629627,0.7723436369612895
