name,compound,areal_density,mu_E,sig_E
Fe01,Fe,20.053,47.88256213838385,0.4959937523084913
Al01Front,Al,1.535,47.72006953939394,0.48219543173508905
Th01,Th,17.151,47.62573033939395,0.4873090117428217
Al01Back,Al,1.535,47.53122911717172,0.4835731640342233
Cu01,Cu,22.251,47.359688889899,0.5016526520575894
Al01_Degrader,Al,415.0,43.43781722291667,2.419486676731288
Fe02,Fe,20.111,39.333550520202024,0.5782802704266574
Al02Front,Al,1.532,39.1442044989899,0.5627778772628813
Th02,Th,17.166,39.03558012626263,0.5688853401111178
Al02Back,Al,1.532,38.92673353333333,0.5650259608942458
Cu02,Cu,22.054,38.72864503636364,0.5863956179476185
Al02_Degrader,Al,261.5,35.77752736103896,1.850866224782307
Fe03,Fe,19.975,32.70313721414142,0.6671585982486405
Al03Front,Al,1.545,32.48623236565657,0.6505336931978483
Th03,Th,17.37,32.360887363636365,0.6579544925700817
Al03Back,Al,1.545,32.23552955353536,0.6540231508557395
Cu03,Cu,22.235,32.00497897575758,0.6800291983931689
Al03_Degrader,Al,68.3,30.972487081313137,0.8786424029491945
Al03b_Degrader,Al,68.3,29.28770188535354,0.9179683547105711
Fe04,Fe,20.29,28.195678991919195,0.7484646379618959
Al04Front,Al,1.546,27.949577482828285,0.7304091722227051
Th04,Th,17.51,27.80925150909091,0.7392388276957111
Al04Back,Al,1.546,27.669089798989898,0.7355165660505513
Cu04,Cu,22.21,27.410530189898992,0.7656903456271213
