name,compound,areal_density,mu_E,sig_E
Fe01,Fe,20.053,47.780226118181815,0.4953995208321609
Al01Front,Al,1.535,47.617471020538716,0.4814163155024377
Th01,Th,17.151,47.5229372003367,0.4865067347926334
Al01Back,Al,1.535,47.428335959595955,0.48276098197001766
Cu01,Cu,22.251,47.25649858047138,0.5010753654293442
Al01_Degrader,Al,415.0,43.327159906628786,2.4240357889732103
Fe02,Fe,20.111,39.214175393939385,0.5779119901424348
Al02Front,Al,1.532,39.02434439966329,0.5622795382694458
Th02,Th,17.166,38.915414856565654,0.5684362874912025
Al02Back,Al,1.532,38.806415017171716,0.5645868530079418
Cu02,Cu,22.054,38.607891885858585,0.5860276082949507
Al02_Degrader,Al,261.5,35.64873124653679,1.8555382143540564
Fe03,Fe,19.975,32.564994432323225,0.6673225576568728
Al03Front,Al,1.545,32.347526449158245,0.6506672586039441
Th03,Th,17.37,32.22193955959595,0.658060027716859
Al03Back,Al,1.545,32.096085544107744,0.654256527010629
Cu03,Cu,22.235,31.864823190909085,0.6802089253129376
Al03_Degrader,Al,68.3,30.828684221548823,0.8801977563333856
Al03b_Degrader,Al,68.3,29.13741156969697,0.9199880680161069
Fe04,Fe,20.29,28.04090725353535,0.7494714152958977
Al04Front,Al,1.546,27.79373588989899,0.7313479228531251
Th04,Th,17.51,27.65308514309764,0.7402404719328717
Al04Back,Al,1.546,27.512175258585852,0.7364353579128914
Cu04,Cu,22.21,27.25260682356902,0.7667942649650537
