name,compound,areal_density,mu_E,sig_E
Fe01,Fe,20.053,46.16097353400673,0.48191758349299724
Al01Front,Al,1.535,45.993957576094274,0.46677443919855793
Th01,Th,17.151,45.897064330303024,0.4722587725383662
Al01Back,Al,1.535,45.800028748821546,0.4682133761846406
Cu01,Cu,22.251,45.623537432996635,0.48787503228691825
Al01_Degrader,Al,415.0,41.57126704830659,2.4893877280321997
Fe02,Fe,20.111,37.31320239393939,0.5689188958693492
Al02Front,Al,1.532,37.1160016983165,0.5518141748285189
Th02,Th,17.166,37.00308133030303,0.5585606300627921
Al02Back,Al,1.532,36.89009303636364,0.5541957568234217
Cu02,Cu,22.054,36.68376772760943,0.5775564421344572
Al02_Degrader,Al,261.5,33.591200240782825,1.9174261163119433
Fe03,Fe,19.975,30.351011423232322,0.6674776321434157
Al03Front,Al,1.545,30.121531401346804,0.648948476159645
Th03,Th,17.37,29.98950686666667,0.6572369417332641
Al03Back,Al,1.545,29.857133130976433,0.6529216871311905
Cu03,Cu,22.235,29.612977712794613,0.6819775940998634
Al03_Degrader,Al,68.3,28.51370281313131,0.9047059238999824
Al03b_Degrader,Al,68.3,26.710155152525253,0.9420578725912896
Fe04,Fe,20.29,25.534815345454543,0.7630377483193771
Al04Front,Al,1.546,25.269450674410777,0.7428029556984688
Th04,Th,17.51,25.11926490841751,0.7529413161700452
Al04Back,Al,1.546,24.96873025016835,0.7488890342317681
Cu04,Cu,22.21,24.689456510774406,0.783684030368065
