name,compound,areal_density,mu_E,sig_E
Fe01,Fe,20.053,53.145483,0.5466944576674738
Al01Front,Al,1.535,52.995491666666666,0.536345418796403
Th01,Th,17.151,52.907883000000005,0.540416745032017
Al01Back,Al,1.535,52.82026666666667,0.5376844758364849
Cu01,Cu,22.251,52.662017,0.5518796593258957
Al01_Degrader,Al,415.0,49.08323892307693,2.2504231407569164
Fe02,Fe,20.111,45.37527600000001,0.618582619507963
Al02Front,Al,1.532,45.205502333333335,0.6071635070785207
Th02,Th,17.166,45.107386999999996,0.6118884148527409
Al02Back,Al,1.532,45.00915933333333,0.6089968034504687
Cu02,Cu,22.054,44.83182466666668,0.625202679610025
Al02_Degrader,Al,261.5,42.226138454545456,1.6918090154714092
Fe03,Fe,19.975,39.54367233333333,0.6883436597862211
Al03Front,Al,1.545,39.35620333333334,0.6764908858628885
Th03,Th,17.37,39.24671766666667,0.6821302854205266
Al03Back,Al,1.545,39.137061333333335,0.6791938291618643
Cu03,Cu,22.235,38.938132,0.6979443749870046
Al03_Degrader,Al,68.3,38.0553365,0.8688268652428693
Al03b_Degrader,Al,68.3,36.63144725000001,0.8952751088170818
Fe04,Fe,20.29,35.71757866666667,0.7451634208759549
Al04Front,Al,1.546,35.511929,0.7323797049975739
Th04,Th,17.51,35.393354333333335,0.7386768137112166
Al04Back,Al,1.546,35.27476733333333,0.7358915086701904
Cu04,Cu,22.21,35.059811,0.7567361787829362
