name,compound,areal_density,mu_E,sig_E
Fe01,Fe,20.053,53.247781333333336,0.5467724183956449
Al01Front,Al,1.535,53.09802533333334,0.5363419003069674
Th01,Th,17.151,53.01056466666667,0.5403243357634582
Al01Back,Al,1.535,52.92302733333334,0.5375178836586639
Cu01,Cu,22.251,52.764858,0.5517654451872341
Al01_Degrader,Al,415.0,49.19223261538462,2.2466961945962254
Fe02,Fe,20.111,45.490973333333336,0.6184396919847741
Al02Front,Al,1.532,45.32164366666667,0.606921371919973
Th02,Th,17.166,45.22369066666668,0.6116476264807668
Al02Back,Al,1.532,45.12563866666667,0.6088304023055645
Cu02,Cu,22.054,44.948570333333336,0.6249569500266043
Al02_Degrader,Al,261.5,42.348605363636366,1.688394005742077
Fe03,Fe,19.975,39.672421666666665,0.6876854674902054
Al03Front,Al,1.545,39.485401333333336,0.6757527251874182
Th03,Th,17.37,39.376226333333335,0.6812602141912362
Al03Back,Al,1.545,39.26683366666667,0.6784007623324302
Cu03,Cu,22.235,39.068425000000005,0.6970698334516662
Al03_Degrader,Al,68.3,38.1880485,0.867371524577416
Al03b_Degrader,Al,68.3,36.7681835,0.8935580900689951
Fe04,Fe,20.29,35.856934333333335,0.7441168467975234
Al04Front,Al,1.546,35.65189266666667,0.7313149921975406
Th04,Th,17.51,35.53367566666667,0.7374556367275406
Al04Back,Al,1.546,35.41542666666667,0.7346894704264896
Cu04,Cu,22.21,35.201067,0.7555051697447213
