name,compound,areal_density,mu_E,sig_E
Fe01,Fe,20.053,49.19650341212122,0.5103979129215457
Al01Front,Al,1.535,49.0373691915825,0.49761310520585894
Th01,Th,17.151,48.94470156397307,0.5023860439879905
Al01Back,Al,1.535,48.85212341245792,0.4989390867998686
Cu01,Cu,22.251,48.68417645454546,0.5159585564407553
Al01_Degrader,Al,415.0,44.8551189756229,2.374384570388892
Fe02,Fe,20.111,40.85953806397307,0.5900614225365125
Al02Front,Al,1.532,40.67553771313132,0.5758109168613003
Th02,Th,17.166,40.56966545353536,0.5814921372019468
Al02Back,Al,1.532,40.463843853198654,0.5779145254452016
Cu02,Cu,22.054,40.27158505622896,0.5977261746916219
Al02_Degrader,Al,261.5,37.41762508679099,1.8061058902623779
Fe03,Fe,19.975,34.4550672023569,0.6733538928293324
Al03Front,Al,1.545,34.2467231037037,0.6582529932038083
Th03,Th,17.37,34.126079393602694,0.6651001011048863
Al03Back,Al,1.545,34.005108372053876,0.6614639684464161
Cu03,Cu,22.235,33.78366457845118,0.6852243226508948
Al03_Degrader,Al,68.3,32.79484077313132,0.8794787055404736
Al03b_Degrader,Al,68.3,31.187646463131315,0.9023794454250024
Fe04,Fe,20.29,30.14878805353536,0.7470192015188888
Al04Front,Al,1.546,29.914866621212123,0.7305953605820448
Th04,Th,17.51,29.78129953670034,0.7387667999174968
Al04Back,Al,1.546,29.647306124915826,0.7351423471694237
Cu04,Cu,22.21,29.40206925622896,0.7622950686388834
