name,compound,areal_density,mu_E,sig_E
Fe01,Fe,20.053,45.45349313131314,0.47622208273369293
Al01Front,Al,1.535,45.28443176868687,0.46049246293891904
Th01,Th,17.151,45.18641461515152,0.4661673145174995
Al01Back,Al,1.535,45.088324491919195,0.46186920384846125
Cu01,Cu,22.251,44.90976308282829,0.4822782329417615
Al01_Degrader,Al,415.0,40.80066181532977,2.523806020333545
Fe02,Fe,20.111,36.4752931030303,0.5654116604895763
Al02Front,Al,1.532,36.274563500000006,0.5474922533501846
Th02,Th,17.166,36.159751154545454,0.554304220485377
Al02Back,Al,1.532,36.04507471515152,0.5498047180703173
Cu02,Cu,22.054,35.83519440808081,0.5743751083083144
Al02_Degrader,Al,261.5,32.67855874261364,1.9546980245174737
Fe03,Fe,19.975,29.36310061717172,0.6685281742289496
Al03Front,Al,1.545,29.127793411111114,0.6490152142874279
Th03,Th,17.37,28.992659309090914,0.6577623998078819
Al03Back,Al,1.545,28.857224511111113,0.653227436446153
Cu03,Cu,22.235,28.606629241414144,0.6839038861103335
Al03_Degrader,Al,68.3,27.47646197878788,0.9079723059079003
Al03b_Degrader,Al,68.3,25.61637996666667,0.9590155622333149
Fe04,Fe,20.29,24.401195275757576,0.7714580708725882
Al04Front,Al,1.546,24.126605745454544,0.7500182540345434
Th04,Th,17.51,23.971616588888892,0.760793222844386
Al04Back,Al,1.546,23.816151001010102,0.7567179482123984
Cu04,Cu,22.21,23.526734636363635,0.7939782804839647
