name,compound,areal_density,mu_E,sig_E
Fe01,Fe,20.053,48.38686997542088,0.5015763881055022
Al01Front,Al,1.535,48.22574004377104,0.4882167438488109
Th01,Th,17.151,48.132049985858586,0.49316443408377986
Al01Back,Al,1.535,48.03833015959596,0.48950169999353715
Cu01,Cu,22.251,47.86805778518519,0.5072390412559098
Al01_Degrader,Al,415.0,43.98224541939394,2.4076943675419566
Fe02,Fe,20.111,39.920724331313124,0.5829064035310376
Al02Front,Al,1.532,39.73344322760943,0.5678781437341834
Th02,Th,17.166,39.62596459932659,0.573788985873401
Al02Back,Al,1.532,39.518370780471386,0.5699871850011079
Cu02,Cu,22.054,39.322577222895625,0.5906354074869855
Al02_Degrader,Al,261.5,36.409880635714295,1.82964645041254
Fe03,Fe,19.975,33.37942577104377,0.6696082020068557
Al03Front,Al,1.545,33.166110303703704,0.6534355599841699
Th03,Th,17.37,33.0426793989899,0.6606735977477767
Al03Back,Al,1.545,32.918908423232324,0.6569700714562073
Cu03,Cu,22.235,32.69206162289562,0.6818659886781685
Al03_Degrader,Al,68.3,31.676809516565655,0.8865017448447821
Al03b_Degrader,Al,68.3,30.023143139898988,0.911540146712368
Fe04,Fe,20.29,28.95243851851852,0.7477449138392592
Al04Front,Al,1.546,28.711234313468015,0.7304220528624038
Th04,Th,17.51,28.57357154882155,0.7388483622264423
Al04Back,Al,1.546,28.435967350168355,0.7352882212290667
Cu04,Cu,22.21,28.182778148484854,0.7641741030588755
