name,compound,areal_density,mu_E,sig_E
Fe01,Fe,20.053,48.89017791683502,0.5062438274611236
Al01Front,Al,1.535,48.73028691043771,0.49317136516573484
Th01,Th,17.151,48.637294207744105,0.49797432008376
Al01Back,Al,1.535,48.54422696363636,0.4944547435076335
Cu01,Cu,22.251,48.37537235218855,0.5118097689439675
Al01_Degrader,Al,415.0,44.52507893346801,2.38662958072082
Fe02,Fe,20.111,40.50477557676768,0.5863306333027649
Al02Front,Al,1.532,40.31965524410775,0.5717383982124159
Th02,Th,17.166,40.21317577643098,0.5775411837312677
Al02Back,Al,1.532,40.106617844107745,0.5739664643457645
Cu02,Cu,22.054,39.9130046942761,0.5940401943900829
Al02_Degrader,Al,261.5,37.03748246861472,1.8088815792244184
Fe03,Fe,19.975,34.049593404713804,0.6707503624414256
Al03Front,Al,1.545,33.83933234545455,0.6552485613092153
Th03,Th,17.37,33.71754867542088,0.6623009524151866
Al03Back,Al,1.545,33.59566234747475,0.6586188222413216
Cu03,Cu,22.235,33.37238531111111,0.6827265075710055
Al03_Degrader,Al,68.3,32.37366355535354,0.8810459335268913
Al03b_Degrader,Al,68.3,30.74927621683502,0.9047089545700251
Fe04,Fe,20.29,29.698666313468017,0.7459397450112997
Al04Front,Al,1.546,29.461962341414143,0.7291312466714563
Th04,Th,17.51,29.327085210437716,0.7374507052139282
Al04Back,Al,1.546,29.191644441750846,0.7337997184948531
Cu04,Cu,22.21,28.943429052188556,0.7616253053980666
