name,compound,areal_density,mu_E,sig_E
Fe01,Fe,20.053,45.352034918855225,0.4751996284542933
Al01Front,Al,1.535,45.18268453636364,0.45933900443161507
Th01,Th,17.151,45.08452195151515,0.46503427377677975
Al01Back,Al,1.535,44.98639364713805,0.46077490587210884
Cu01,Cu,22.251,44.80749478821549,0.4813195879374752
Al01_Degrader,Al,415.0,40.689922932323235,2.528907797222617
Fe02,Fe,20.111,36.35437467508417,0.5646141777226085
Al02Front,Al,1.532,36.15335035050505,0.5465889508712011
Th02,Th,17.166,36.03859632087542,0.553555940750436
Al02Back,Al,1.532,35.92352496936027,0.5490571089022401
Cu02,Cu,22.054,35.71283355185186,0.5737080904454848
Al02_Degrader,Al,261.5,32.54693073320707,1.9601389331425891
Fe03,Fe,19.975,29.220330696633,0.6684407741658429
Al03Front,Al,1.545,28.984205899663305,0.6488123991107462
Th03,Th,17.37,28.84848951346801,0.6575647388775688
Al03Back,Al,1.545,28.712717611111113,0.652970360853767
Cu03,Cu,22.235,28.46111108585859,0.6839558397364955
Al03_Degrader,Al,68.3,27.326252310389613,0.9097724425009243
Al03b_Degrader,Al,68.3,25.457756137626266,0.9537632214535815
Fe04,Fe,20.29,24.236488634343438,0.7724513011201966
Al04Front,Al,1.546,23.960446807070706,0.7509720071682161
Th04,Th,17.51,23.80465996329966,0.7618715331709351
Al04Back,Al,1.546,23.648558224579126,0.7576652915273767
Cu04,Cu,22.21,23.35760772929293,0.795304124233836
