name,compound,areal_density,mu_E,sig_E
Fe01,Fe,20.053,52.94116833333334,0.5456604881522534
Al01Front,Al,1.535,52.790732000000006,0.5351309847529544
Th01,Th,17.151,52.70290033333334,0.5391906787645309
Al01Back,Al,1.535,52.614973666666664,0.5363295528931402
Cu01,Cu,22.251,52.456249,0.5506527490161108
Al01_Degrader,Al,415.0,48.86552015384616,2.2575740932166664
Fe02,Fe,20.111,45.143885333333344,0.61800292139403
Al02Front,Al,1.532,44.973561000000004,0.6064745495723625
Th02,Th,17.166,44.875067333333334,0.6112259501468249
Al02Back,Al,1.532,44.77648533333334,0.6083864400621989
Cu02,Cu,22.054,44.59835366666667,0.6246827644918836
Al02_Degrader,Al,261.5,41.98115536363637,1.6983463689045386
Fe03,Fe,19.975,39.285972,0.6883952947853921
Al03Front,Al,1.545,39.097455333333336,0.676423086047647
Th03,Th,17.37,38.987438000000004,0.681898523356665
Al03Back,Al,1.545,38.87741133333334,0.6789996702047967
Cu03,Cu,22.235,38.677493000000005,0.6980052781206844
Al03_Degrader,Al,68.3,37.789924750000004,0.8706676687103055
Al03b_Degrader,Al,68.3,36.357918,0.8974933455329906
Fe04,Fe,20.29,35.438678,0.746032715312137
Al04Front,Al,1.546,35.231748333333336,0.7331177554326149
Th04,Th,17.51,35.112446000000006,0.73940888355767
Al04Back,Al,1.546,34.993115333333336,0.7365554978172988
Cu04,Cu,22.21,34.77676533333334,0.7575871018777679
