name,compound,areal_density,mu_E,sig_E
Fe01,Fe,20.053,51.931797333333336,0.5359084464031353
Al01Front,Al,1.535,51.77910166666667,0.5247584774578576
Th01,Th,17.151,51.69008733333334,0.5290331486522266
Al01Back,Al,1.535,51.60094133333333,0.5260882504151646
Cu01,Cu,22.251,51.43985066666667,0.5410634507149374
Al01_Degrader,Al,415.0,47.78865621428571,2.2808466357185275
Fe02,Fe,20.111,43.997613,0.6100092094094427
Al02Front,Al,1.532,43.82370933333333,0.5978376598315708
Th02,Th,17.166,43.723390333333334,0.602798826840173
Al02Back,Al,1.532,43.62299433333334,0.5997601692631443
Cu02,Cu,22.054,43.441370000000006,0.6168587005411639
Al02_Degrader,Al,261.5,40.765676250000006,1.7184005053690494
Fe03,Fe,19.975,38.00454833333334,0.6833990386276696
Al03Front,Al,1.545,37.811274000000004,0.6706737634081124
Th03,Th,17.37,37.698643000000004,0.676497271650818
Al03Back,Al,1.545,37.58583766666666,0.673368765967967
Cu03,Cu,22.235,37.380701333333334,0.6934994555140059
Al03_Degrader,Al,68.3,36.468655999999996,0.8760171252116024
Al03b_Degrader,Al,68.3,34.994995599999996,0.8873343202990855
Fe04,Fe,20.29,34.04722833333334,0.7444794274282459
Al04Front,Al,1.546,33.833771,0.7307771111807394
Th04,Th,17.51,33.711083666666674,0.7374926117143291
Al04Back,Al,1.546,33.588377666666666,0.7344902913140211
Cu04,Cu,22.21,33.36521366666667,0.7570352552423757
