natTi(p,x)48V


	fit	fit
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.
MeV	mb	mb	(MBq/uAh)	(uCi/uAh)	(MBq/uA)
13.2	365.56	14.84	1.21E+01	3.27E+02	1.21E+01
13.3	362.69	14.72	1.23E+01	3.33E+02	1.23E+01
13.4	359.61	14.60	1.25E+01	3.39E+02	1.25E+01
13.5	356.30	14.46	1.28E+01	3.45E+02	1.27E+01
13.6	352.76	14.32	1.30E+01	3.51E+02	1.30E+01
13.7	348.99	14.17	1.32E+01	3.57E+02	1.32E+01
13.8	344.98	14.00	1.34E+01	3.63E+02	1.34E+01
13.9	340.73	13.83	1.36E+01	3.68E+02	1.36E+01
14.0	336.22	13.65	1.38E+01	3.74E+02	1.38E+01
14.1	331.45	13.45	1.41E+01	3.80E+02	1.40E+01
14.2	326.45	13.25	1.43E+01	3.86E+02	1.43E+01
14.3	321.22	13.04	1.45E+01	3.91E+02	1.45E+01
14.4	315.79	12.82	1.47E+01	3.97E+02	1.47E+01
14.5	310.18	12.59	1.49E+01	4.02E+02	1.49E+01
14.6	304.39	12.36	1.51E+01	4.08E+02	1.51E+01
14.7	298.46	12.11	1.53E+01	4.13E+02	1.53E+01
14.8	292.39	11.87	1.55E+01	4.18E+02	1.55E+01
14.9	286.20	11.62	1.57E+01	4.23E+02	1.57E+01
15.0	279.93	11.36	1.59E+01	4.29E+02	1.58E+01
15.1	273.57	11.10	1.60E+01	4.34E+02	1.60E+01
15.2	267.16	10.84	1.62E+01	4.39E+02	1.62E+01
15.3	260.71	10.58	1.64E+01	4.43E+02	1.64E+01
15.4	254.26	10.32	1.66E+01	4.48E+02	1.66E+01
15.5	247.82	10.06	1.68E+01	4.53E+02	1.67E+01
15.6	241.42	9.80	1.69E+01	4.57E+02	1.69E+01
15.7	235.08	9.54	1.71E+01	4.62E+02	1.71E+01
15.8	228.82	9.29	1.72E+01	4.66E+02	1.72E+01
15.9	222.67	9.04	1.74E+01	4.70E+02	1.74E+01
16.0	216.64	8.83	1.76E+01	4.75E+02	1.75E+01
16.1	210.77	8.59	1.77E+01	4.79E+02	1.77E+01
16.2	205.05	8.36	1.79E+01	4.83E+02	1.78E+01
16.3	199.47	8.13	1.80E+01	4.87E+02	1.80E+01
16.4	194.05	7.91	1.81E+01	4.91E+02	1.81E+01
16.5	188.78	7.69	1.83E+01	4.94E+02	1.83E+01
16.6	183.65	7.48	1.84E+01	4.98E+02	1.84E+01
16.7	178.66	7.28	1.86E+01	5.02E+02	1.85E+01
16.8	173.83	7.08	1.87E+01	5.05E+02	1.87E+01
16.9	169.13	6.89	1.88E+01	5.08E+02	1.88E+01
17.0	164.58	6.71	1.89E+01	5.12E+02	1.89E+01
17.1	160.17	6.53	1.91E+01	5.15E+02	1.90E+01
17.2	155.90	6.35	1.92E+01	5.18E+02	1.92E+01
17.3	151.77	6.19	1.93E+01	5.21E+02	1.93E+01
17.4	147.78	6.02	1.94E+01	5.24E+02	1.94E+01
17.5	143.92	5.87	1.95E+01	5.27E+02	1.95E+01
17.6	140.20	5.71	1.96E+01	5.30E+02	1.96E+01
17.7	136.62	5.57	1.97E+01	5.33E+02	1.97E+01
17.8	133.17	5.43	1.98E+01	5.35E+02	1.98E+01
17.9	129.85	5.29	1.99E+01	5.38E+02	1.99E+01
18.0	126.66	5.30	2.00E+01	5.41E+02	2.00E+01
18.1	123.60	5.17	2.01E+01	5.43E+02	2.01E+01
18.2	120.67	5.05	2.02E+01	5.46E+02	2.02E+01
18.3	117.86	4.93	2.03E+01	5.48E+02	2.03E+01
18.4	115.17	4.82	2.04E+01	5.51E+02	2.04E+01
18.5	112.59	4.71	2.05E+01	5.53E+02	2.04E+01
18.6	110.11	4.60	2.05E+01	5.55E+02	2.05E+01
18.7	107.75	4.51	2.06E+01	5.58E+02	2.06E+01
18.8	105.48	4.41	2.07E+01	5.60E+02	2.07E+01
18.9	103.30	4.32	2.08E+01	5.62E+02	2.08E+01
19.0	101.22	4.23	2.09E+01	5.64E+02	2.09E+01
19.1	99.22	4.15	2.10E+01	5.67E+02	2.09E+01
19.2	97.31	4.07	2.10E+01	5.69E+02	2.10E+01
