natCu(p,x)65Zn


	fit	fit
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.
MeV	mb	mb	(MBq/uAh)	(uCi/uAh)	(MBq/uA)
2.2	0.16	0.01	1.48E-06	3.99E-05	1.48E-06
2.3	0.71	0.04	8.09E-06	2.19E-04	8.09E-06
2.4	1.30	0.08	2.06E-05	5.56E-04	2.06E-05
2.5	1.99	0.12	4.00E-05	1.08E-03	4.00E-05
2.6	2.80	0.17	6.83E-05	1.84E-03	6.83E-05
2.7	3.76	0.22	1.07E-04	2.90E-03	1.07E-04
2.8	4.87	0.29	1.58E-04	4.28E-03	1.58E-04
2.9	6.12	0.36	2.25E-04	6.07E-03	2.25E-04
3.0	7.52	0.45	3.08E-04	8.32E-03	3.08E-04
3.1	9.07	0.54	4.11E-04	1.11E-02	4.11E-04
3.2	10.77	0.64	5.35E-04	1.45E-02	5.35E-04
3.3	12.64	0.75	6.84E-04	1.85E-02	6.84E-04
3.4	14.65	0.87	8.59E-04	2.32E-02	8.59E-04
3.5	16.83	1.00	1.07E-03	2.88E-02	1.07E-03
3.6	19.17	1.14	1.30E-03	3.53E-02	1.30E-03
3.7	21.68	1.29	1.58E-03	4.27E-02	1.58E-03
3.8	24.35	1.44	1.89E-03	5.12E-02	1.89E-03
3.9	27.19	1.61	2.25E-03	6.09E-02	2.25E-03
4.0	30.20	1.79	2.66E-03	7.18E-02	2.66E-03
4.1	33.39	1.98	3.11E-03	8.41E-02	3.11E-03
4.2	36.74	2.18	3.62E-03	9.79E-02	3.62E-03
4.3	40.27	2.39	4.19E-03	1.13E-01	4.19E-03
4.4	43.97	2.61	4.82E-03	1.30E-01	4.82E-03
4.5	47.84	2.84	5.51E-03	1.49E-01	5.51E-03
4.6	51.88	3.08	6.28E-03	1.70E-01	6.28E-03
4.7	56.08	3.33	7.12E-03	1.92E-01	7.12E-03
4.8	60.45	3.59	8.04E-03	2.17E-01	8.04E-03
4.9	64.99	3.85	9.04E-03	2.44E-01	9.04E-03
5.0	69.69	3.69	1.01E-02	2.74E-01	1.01E-02
