natTi(p,x)46Sc


	fit	fit
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.
MeV	mb	mb	(MBq/uAh)	(uCi/uAh)	(MBq/uA)
16.4	2.61	0.16	1.18E-02	3.18E-01	1.18E+01
16.5	2.66	0.16	1.21E-02	3.28E-01	1.21E+01
16.6	2.71	0.16	1.25E-02	3.39E-01	1.25E+01
16.7	2.76	0.17	1.29E-02	3.49E-01	1.29E+01
16.8	2.81	0.17	1.33E-02	3.60E-01	1.33E+01
16.9	2.87	0.17	1.37E-02	3.71E-01	1.37E+01
17.0	2.92	0.18	1.41E-02	3.82E-01	1.41E+01
17.1	2.97	0.18	1.46E-02	3.93E-01	1.46E+01
17.2	3.02	0.18	1.50E-02	4.05E-01	1.50E+01
17.3	3.08	0.19	1.54E-02	4.17E-01	1.54E+01
17.4	3.13	0.19	1.59E-02	4.29E-01	1.59E+01
17.5	3.19	0.19	1.63E-02	4.41E-01	1.63E+01
17.6	3.25	0.20	1.68E-02	4.54E-01	1.68E+01
17.7	3.30	0.20	1.73E-02	4.67E-01	1.73E+01
17.8	3.36	0.20	1.77E-02	4.80E-01	1.77E+01
17.9	3.42	0.21	1.82E-02	4.93E-01	1.82E+01
18.0	3.48	0.21	1.87E-02	5.07E-01	1.87E+01
18.1	3.54	0.21	1.93E-02	5.21E-01	1.93E+01
18.2	3.60	0.22	1.98E-02	5.35E-01	1.98E+01
18.3	3.66	0.22	2.03E-02	5.50E-01	2.03E+01
18.4	3.72	0.23	2.09E-02	5.65E-01	2.09E+01
18.5	3.78	0.23	2.15E-02	5.80E-01	2.15E+01
18.6	3.84	0.23	2.20E-02	5.96E-01	2.20E+01
18.7	3.91	0.24	2.26E-02	6.12E-01	2.26E+01
18.8	3.97	0.24	2.32E-02	6.28E-01	2.32E+01
18.9	4.04	0.24	2.39E-02	6.45E-01	2.39E+01
19.0	4.10	0.25	2.45E-02	6.62E-01	2.45E+01
19.1	4.17	0.25	2.51E-02	6.79E-01	2.51E+01
19.2	4.23	0.26	2.58E-02	6.97E-01	2.58E+01
19.3	4.30	0.26	2.65E-02	7.16E-01	2.65E+01
19.4	4.36	0.26	2.72E-02	7.34E-01	2.72E+01
19.5	4.43	0.27	2.79E-02	7.53E-01	2.79E+01
19.6	4.50	0.27	2.86E-02	7.72E-01	2.86E+01
19.7	4.57	0.28	2.93E-02	7.92E-01	2.93E+01
19.8	4.64	0.28	3.01E-02	8.12E-01	3.00E+01
19.9	4.71	0.28	3.08E-02	8.33E-01	3.08E+01
20.0	4.78	0.21	3.16E-02	8.54E-01	3.16E+01
20.1	4.85	0.22	3.24E-02	8.75E-01	3.24E+01
20.2	4.92	0.22	3.32E-02	8.97E-01	3.32E+01
20.3	4.99	0.22	3.40E-02	9.19E-01	3.40E+01
20.4	5.06	0.23	3.48E-02	9.42E-01	3.48E+01
20.5	5.13	0.23	3.57E-02	9.64E-01	3.57E+01
20.6	5.20	0.23	3.66E-02	9.88E-01	3.65E+01
20.7	5.27	0.24	3.74E-02	1.01E+00	3.74E+01
20.8	5.35	0.24	3.83E-02	1.04E+00	3.83E+01
20.9	5.42	0.24	3.92E-02	1.06E+00	3.92E+01
21.0	5.49	0.25	4.02E-02	1.09E+00	4.02E+01
21.1	5.57	0.25	4.11E-02	1.11E+00	4.11E+01
21.2	5.64	0.25	4.21E-02	1.14E+00	4.21E+01
21.3	5.71	0.26	4.31E-02	1.16E+00	4.30E+01
21.4	5.79	0.26	4.41E-02	1.19E+00	4.40E+01
21.5	5.86	0.26	4.51E-02	1.22E+00	4.51E+01
21.6	5.93	0.27	4.61E-02	1.25E+00	4.61E+01
21.7	6.01	0.27	4.71E-02	1.27E+00	4.71E+01
21.8	6.08	0.27	4.82E-02	1.30E+00	4.82E+01
21.9	6.15	0.28	4.93E-02	1.33E+00	4.93E+01
22.0	6.23	0.28	5.04E-02	1.36E+00	5.03E+01
22.1	6.30	0.28	5.15E-02	1.39E+00	5.15E+01
22.2	6.37	0.29	5.26E-02	1.42E+00	5.26E+01
22.3	6.44	0.29	5.37E-02	1.45E+00	5.37E+01
22.4	6.52	0.29	5.49E-02	1.48E+00	5.49E+01
22.5	6.59	0.29	5.61E-02	1.52E+00	5.61E+01
22.6	6.66	0.30	5.73E-02	1.55E+00	5.72E+01
22.7	6.73	0.30	5.85E-02	1.58E+00	5.85E+01
22.8	6.80	0.30	5.97E-02	1.61E+00	5.97E+01
22.9	6.87	0.31	6.09E-02	1.65E+00	6.09E+01
23.0	6.94	0.31	6.22E-02	1.68E+00	6.22E+01
23.1	7.01	0.31	6.35E-02	1.72E+00	6.34E+01
23.2	7.08	0.32	6.47E-02	1.75E+00	6.47E+01
23.3	7.15	0.32	6.61E-02	1.79E+00	6.60E+01
23.4	7.22	0.32	6.74E-02	1.82E+00	6.74E+01
23.5	7.28	0.33	6.87E-02	1.86E+00	6.87E+01
23.6	7.35	0.33	7.01E-02	1.89E+00	7.01E+01
23.7	7.41	0.33	7.14E-02	1.93E+00	7.14E+01
23.8	7.48	0.33	7.28E-02	1.97E+00	7.28E+01
23.9	7.54	0.34	7.42E-02	2.01E+00	7.42E+01
24.0	7.61	0.34	7.57E-02	2.04E+00	7.56E+01
24.1	7.67	0.34	7.71E-02	2.08E+00	7.71E+01
24.2	7.73	0.35	7.85E-02	2.12E+00	7.85E+01
24.3	7.79	0.35	8.00E-02	2.16E+00	8.00E+01
24.4	7.85	0.35	8.15E-02	2.20E+00	8.15E+01
24.5	7.91	0.35	8.30E-02	2.24E+00	8.30E+01
24.6	7.97	0.36	8.45E-02	2.28E+00	8.45E+01
24.7	8.02	0.36	8.60E-02	2.33E+00	8.60E+01
24.8	8.08	0.36	8.76E-02	2.37E+00	8.76E+01
24.9	8.14	0.36	8.91E-02	2.41E+00	8.91E+01
25.0	8.19	0.36	9.07E-02	2.45E+00	9.07E+01
25.1	8.24	0.36	9.23E-02	2.50E+00	9.23E+01
25.2	8.30	0.36	9.39E-02	2.54E+00	9.39E+01
25.3	8.35	0.36	9.55E-02	2.58E+00	9.55E+01
25.4	8.40	0.37	9.72E-02	2.63E+00	9.72E+01
25.5	8.45	0.37	9.88E-02	2.67E+00	9.88E+01
25.6	8.51	0.37	1.01E-01	2.72E+00	1.00E+02
25.7	8.56	0.37	1.02E-01	2.76E+00	1.02E+02
25.8	8.61	0.38	1.04E-01	2.81E+00	1.04E+02
25.9	8.66	0.38	1.06E-01	2.85E+00	1.06E+02
26.0	8.71	0.38	1.07E-01	2.90E+00	1.07E+02
26.1	8.76	0.38	1.09E-01	2.95E+00	1.09E+02
26.2	8.82	0.38	1.11E-01	3.00E+00	1.11E+02
26.3	8.87	0.39	1.13E-01	3.04E+00	1.13E+02
26.4	8.92	0.39	1.14E-01	3.09E+00	1.14E+02
26.5	8.98	0.39	1.16E-01	3.14E+00	1.16E+02
26.6	9.03	0.39	1.18E-01	3.19E+00	1.18E+02
26.7	9.09	0.40	1.20E-01	3.24E+00	1.20E+02
26.8	9.15	0.40	1.22E-01	3.29E+00	1.22E+02
26.9	9.21	0.40	1.24E-01	3.34E+00	1.24E+02
27.0	9.27	0.40	1.26E-01	3.39E+00	1.25E+02
27.1	9.34	0.41	1.27E-01	3.44E+00	1.27E+02
27.2	9.40	0.41	1.29E-01	3.50E+00	1.29E+02
27.3	9.47	0.41	1.31E-01	3.55E+00	1.31E+02
27.4	9.54	0.42	1.33E-01	3.60E+00	1.33E+02
27.5	9.62	0.42	1.35E-01	3.66E+00	1.35E+02
27.6	9.70	0.42	1.37E-01	3.71E+00	1.37E+02
27.7	9.78	0.43	1.39E-01	3.77E+00	1.39E+02
27.8	9.87	0.43	1.41E-01	3.82E+00	1.41E+02
27.9	9.96	0.43	1.43E-01	3.88E+00	1.43E+02
28.0	10.06	0.44	1.46E-01	3.94E+00	1.46E+02
28.1	10.16	0.44	1.48E-01	3.99E+00	1.48E+02
28.2	10.26	0.45	1.50E-01	4.05E+00	1.50E+02
28.3	10.37	0.45	1.52E-01	4.11E+00	1.52E+02
28.4	10.49	0.46	1.54E-01	4.17E+00	1.54E+02
28.5	10.61	0.46	1.57E-01	4.23E+00	1.57E+02
28.6	10.74	0.47	1.59E-01	4.29E+00	1.59E+02
28.7	10.87	0.47	1.61E-01	4.36E+00	1.61E+02
28.8	11.01	0.48	1.64E-01	4.42E+00	1.64E+02
28.9	11.16	0.49	1.66E-01	4.49E+00	1.66E+02
29.0	11.32	0.49	1.68E-01	4.55E+00	1.68E+02
29.1	11.48	0.50	1.71E-01	4.62E+00	1.71E+02
29.2	11.65	0.51	1.73E-01	4.69E+00	1.73E+02
29.3	11.82	0.52	1.76E-01	4.76E+00	1.76E+02
29.4	12.00	0.52	1.79E-01	4.83E+00	1.79E+02
29.5	12.19	0.53	1.81E-01	4.90E+00	1.81E+02
29.6	12.39	0.54	1.84E-01	4.97E+00	1.84E+02
29.7	12.60	0.55	1.87E-01	5.05E+00	1.87E+02
29.8	12.81	0.56	1.89E-01	5.12E+00	1.89E+02
29.9	13.04	0.57	1.92E-01	5.20E+00	1.92E+02
30.0	13.27	0.56	1.95E-01	5.28E+00	1.95E+02
30.1	13.50	0.57	1.98E-01	5.36E+00	1.98E+02
30.2	13.75	0.58	2.01E-01	5.44E+00	2.01E+02
30.3	14.01	0.59	2.04E-01	5.52E+00	2.04E+02
30.4	14.27	0.60	2.08E-01	5.61E+00	2.07E+02
30.5	14.54	0.61	2.11E-01	5.70E+00	2.11E+02
30.6	14.82	0.62	2.14E-01	5.78E+00	2.14E+02
30.7	15.11	0.63	2.17E-01	5.88E+00	2.17E+02
30.8	15.40	0.64	2.21E-01	5.97E+00	2.21E+02
30.9	15.71	0.66	2.24E-01	6.06E+00	2.24E+02
31.0	16.02	0.67	2.28E-01	6.16E+00	2.28E+02
31.1	16.34	0.68	2.32E-01	6.26E+00	2.32E+02
31.2	16.67	0.70	2.35E-01	6.36E+00	2.35E+02
31.3	17.01	0.71	2.39E-01	6.46E+00	2.39E+02
31.4	17.35	0.73	2.43E-01	6.57E+00	2.43E+02
31.5	17.70	0.74	2.47E-01	6.68E+00	2.47E+02
31.6	18.06	0.76	2.51E-01	6.79E+00	2.51E+02
31.7	18.42	0.77	2.55E-01	6.90E+00	2.55E+02
31.8	18.80	0.79	2.60E-01	7.02E+00	2.60E+02
31.9	19.18	0.80	2.64E-01	7.14E+00	2.64E+02
32.0	19.57	0.82	2.69E-01	7.26E+00	2.68E+02
32.1	19.96	0.84	2.73E-01	7.38E+00	2.73E+02
32.2	20.36	0.85	2.78E-01	7.51E+00	2.78E+02
32.3	20.77	0.87	2.83E-01	7.64E+00	2.83E+02
32.4	21.18	0.89	2.87E-01	7.77E+00	2.87E+02
32.5	21.60	0.90	2.92E-01	7.91E+00	2.92E+02
32.6	22.03	0.92	2.98E-01	8.04E+00	2.98E+02
32.7	22.46	0.94	3.03E-01	8.19E+00	3.03E+02
32.8	22.89	0.96	3.08E-01	8.33E+00	3.08E+02
32.9	23.33	0.98	3.14E-01	8.48E+00	3.14E+02
33.0	23.78	1.00	3.19E-01	8.63E+00	3.19E+02
33.1	24.23	1.01	3.25E-01	8.78E+00	3.25E+02
33.2	24.69	1.03	3.31E-01	8.94E+00	3.31E+02
33.3	25.15	1.05	3.37E-01	9.10E+00	3.37E+02
33.4	25.61	1.07	3.43E-01	9.26E+00	3.43E+02
33.5	26.08	1.09	3.49E-01	9.43E+00	3.49E+02
33.6	26.55	1.11	3.55E-01	9.60E+00	3.55E+02
33.7	27.03	1.13	3.62E-01	9.78E+00	3.62E+02
33.8	27.51	1.15	3.68E-01	9.96E+00	3.68E+02
33.9	27.99	1.17	3.75E-01	1.01E+01	3.75E+02
34.0	28.48	1.19	3.82E-01	1.03E+01	3.82E+02
34.1	28.96	1.21	3.89E-01	1.05E+01	3.89E+02
34.2	29.45	1.23	3.96E-01	1.07E+01	3.96E+02
34.3	29.95	1.25	4.03E-01	1.09E+01	4.03E+02
34.4	30.44	1.27	4.11E-01	1.11E+01	4.11E+02
34.5	30.94	1.29	4.18E-01	1.13E+01	4.18E+02
34.6	31.44	1.32	4.26E-01	1.15E+01	4.26E+02
34.7	31.94	1.34	4.34E-01	1.17E+01	4.34E+02
34.8	32.44	1.36	4.42E-01	1.19E+01	4.42E+02
34.9	32.95	1.38	4.50E-01	1.22E+01	4.50E+02
35.0	33.45	1.37	4.58E-01	1.24E+01	4.58E+02
35.1	33.95	1.39	4.66E-01	1.26E+01	4.66E+02
35.2	34.46	1.41	4.75E-01	1.28E+01	4.75E+02
35.3	34.96	1.44	4.84E-01	1.31E+01	4.84E+02
35.4	35.47	1.46	4.92E-01	1.33E+01	4.92E+02
35.5	35.97	1.48	5.01E-01	1.36E+01	5.01E+02
35.6	36.48	1.50	5.11E-01	1.38E+01	5.11E+02
35.7	36.98	1.52	5.20E-01	1.41E+01	5.20E+02
35.8	37.48	1.54	5.29E-01	1.43E+01	5.29E+02
35.9	37.98	1.56	5.39E-01	1.46E+01	5.39E+02
36.0	38.48	1.58	5.49E-01	1.48E+01	5.49E+02
36.1	38.98	1.60	5.58E-01	1.51E+01	5.58E+02
36.2	39.48	1.62	5.68E-01	1.54E+01	5.68E+02
36.3	39.97	1.64	5.79E-01	1.56E+01	5.79E+02
36.4	40.47	1.66	5.89E-01	1.59E+01	5.89E+02
36.5	40.96	1.68	5.99E-01	1.62E+01	5.99E+02
36.6	41.44	1.70	6.10E-01	1.65E+01	6.10E+02
36.7	41.93	1.72	6.21E-01	1.68E+01	6.21E+02
36.8	42.41	1.74	6.32E-01	1.71E+01	6.32E+02
36.9	42.89	1.76	6.43E-01	1.74E+01	6.43E+02
37.0	43.37	1.78	6.54E-01	1.77E+01	6.54E+02
37.1	43.84	1.80	6.65E-01	1.80E+01	6.65E+02
37.2	44.31	1.82	6.77E-01	1.83E+01	6.77E+02
37.3	44.78	1.84	6.89E-01	1.86E+01	6.89E+02
37.4	45.24	1.86	7.00E-01	1.89E+01	7.00E+02
37.5	45.70	1.88	7.12E-01	1.93E+01	7.12E+02
37.6	46.15	1.89	7.24E-01	1.96E+01	7.24E+02
37.7	46.60	1.91	7.37E-01	1.99E+01	7.37E+02
37.8	47.04	1.93	7.49E-01	2.02E+01	7.49E+02
37.9	47.48	1.95	7.62E-01	2.06E+01	7.62E+02
38.0	47.92	1.97	7.74E-01	2.09E+01	7.74E+02
38.1	48.35	1.98	7.87E-01	2.13E+01	7.87E+02
38.2	48.77	2.00	8.00E-01	2.16E+01	8.00E+02
38.3	49.19	2.02	8.13E-01	2.20E+01	8.13E+02
38.4	49.61	2.04	8.27E-01	2.23E+01	8.26E+02
38.5	50.02	2.05	8.40E-01	2.27E+01	8.40E+02
38.6	50.42	2.07	8.53E-01	2.31E+01	8.53E+02
38.7	50.82	2.09	8.67E-01	2.34E+01	8.67E+02
38.8	51.21	2.10	8.81E-01	2.38E+01	8.81E+02
38.9	51.60	2.12	8.95E-01	2.42E+01	8.95E+02
39.0	51.98	2.13	9.09E-01	2.46E+01	9.09E+02
39.1	52.36	2.15	9.23E-01	2.49E+01	9.23E+02
39.2	52.73	2.16	9.37E-01	2.53E+01	9.37E+02
39.3	53.09	2.18	9.52E-01	2.57E+01	9.52E+02
39.4	53.45	2.19	9.66E-01	2.61E+01	9.66E+02
39.5	53.80	2.21	9.81E-01	2.65E+01	9.81E+02
39.6	54.14	2.22	9.96E-01	2.69E+01	9.96E+02
39.7	54.48	2.24	1.01E+00	2.73E+01	1.01E+03
39.8	54.81	2.25	1.03E+00	2.77E+01	1.03E+03
39.9	55.14	2.26	1.04E+00	2.81E+01	1.04E+03
40.0	55.46	2.27	1.06E+00	2.86E+01	1.06E+03
40.1	55.77	2.29	1.07E+00	2.90E+01	1.07E+03
40.2	56.07	2.30	1.09E+00	2.94E+01	1.09E+03
40.3	56.37	2.31	1.10E+00	2.98E+01	1.10E+03
40.4	56.66	2.32	1.12E+00	3.02E+01	1.12E+03
40.5	56.95	2.34	1.13E+00	3.07E+01	1.13E+03
40.6	57.23	2.35	1.15E+00	3.11E+01	1.15E+03
40.7	57.50	2.36	1.17E+00	3.15E+01	1.17E+03
40.8	57.76	2.37	1.18E+00	3.20E+01	1.18E+03
40.9	58.02	2.38	1.20E+00	3.24E+01	1.20E+03
41.0	58.27	2.39	1.22E+00	3.29E+01	1.22E+03
41.1	58.52	2.40	1.23E+00	3.33E+01	1.23E+03
41.2	58.76	2.41	1.25E+00	3.38E+01	1.25E+03
41.3	58.99	2.42	1.27E+00	3.42E+01	1.27E+03
41.4	59.22	2.43	1.28E+00	3.47E+01	1.28E+03
41.5	59.44	2.44	1.30E+00	3.51E+01	1.30E+03
41.6	59.65	2.45	1.32E+00	3.56E+01	1.32E+03
41.7	59.85	2.46	1.33E+00	3.61E+01	1.33E+03
41.8	60.05	2.46	1.35E+00	3.65E+01	1.35E+03
41.9	60.25	2.47	1.37E+00	3.70E+01	1.37E+03
42.0	60.43	2.48	1.39E+00	3.75E+01	1.39E+03
42.1	60.61	2.49	1.40E+00	3.79E+01	1.40E+03
42.2	60.79	2.49	1.42E+00	3.84E+01	1.42E+03
42.3	60.95	2.50	1.44E+00	3.89E+01	1.44E+03
42.4	61.12	2.51	1.46E+00	3.94E+01	1.46E+03
42.5	61.27	2.51	1.47E+00	3.98E+01	1.47E+03
42.6	61.42	2.52	1.49E+00	4.03E+01	1.49E+03
42.7	61.56	2.53	1.51E+00	4.08E+01	1.51E+03
42.8	61.70	2.53	1.53E+00	4.13E+01	1.53E+03
42.9	61.83	2.54	1.55E+00	4.18E+01	1.55E+03
43.0	61.95	2.54	1.56E+00	4.23E+01	1.56E+03
43.1	62.07	2.55	1.58E+00	4.28E+01	1.58E+03
43.2	62.18	2.55	1.60E+00	4.33E+01	1.60E+03
43.3	62.29	2.56	1.62E+00	4.38E+01	1.62E+03
43.4	62.39	2.56	1.64E+00	4.43E+01	1.64E+03
43.5	62.49	2.56	1.66E+00	4.48E+01	1.66E+03
43.6	62.58	2.57	1.67E+00	4.53E+01	1.67E+03
43.7	62.67	2.57	1.69E+00	4.58E+01	1.69E+03
43.8	62.75	2.57	1.71E+00	4.63E+01	1.71E+03
43.9	62.82	2.58	1.73E+00	4.68E+01	1.73E+03
44.0	62.89	2.58	1.75E+00	4.73E+01	1.75E+03
44.1	62.95	2.58	1.77E+00	4.78E+01	1.77E+03
